value_en	description_en	codesystem	code	description_code
Finland 	Finland 	snomedCT	SNOMEDCT:315426005	Residing in Finland (finding)
Congo 	Congo 	snomedCT	SNOMEDCT:315407002	Residing in Congo (finding)
Indonesia 	Indonesia 	snomedCT	SNOMEDCT:315445001	Residing in Indonesia (finding)
Peru 	Peru 	snomedCT	SNOMEDCT:315501003	Residing in Peru (finding)
Georgia 	Georgia 	snomedCT	SNOMEDCT:315430008	Residing in Georgia (finding)
Mongolia 	Mongolia 	snomedCT	SNOMEDCT:315482005	Residing in Mongolia (finding)
Angola 	Angola 	snomedCT	SNOMEDCT:315369003	Residing in Angola (finding)
Denmark 	Denmark 	snomedCT	SNOMEDCT:315414000	Residing in Denmark (finding)
Belize 	Belize 	snomedCT	SNOMEDCT:315382006	Residing in Belize (finding)
Malta 	Malta 	snomedCT	SNOMEDCT:315476007	Residing in Malta (finding)
Australia 	Australia 	snomedCT	SNOMEDCT:315374006	Residing in Australia (finding)
Switzerland 	Switzerland 	snomedCT	SNOMEDCT:315535000	Residing in Switzerland (finding)
Maldives 	Maldives 	snomedCT	SNOMEDCT:315474005	Residing in Maldives (finding)
Central African Republic 	Central African Republic 	snomedCT	SNOMEDCT:315400000	Residing in Central African Republic (finding)
Bhutan 	Bhutan 	snomedCT	SNOMEDCT:315385008	Residing in Bhutan (finding)
Syria 	Syria 	snomedCT	SNOMEDCT:315536004	Residing in Syria (finding)
Zimbabwe 	Zimbabwe 	snomedCT	SNOMEDCT:315565005	Residing in Zimbabwe (finding)
Croatia 	Croatia 	snomedCT	SNOMEDCT:315409004	Residing in Croatia (finding)
Ivory Coast 	Ivory Coast 	snomedCT	SNOMEDCT:315451006	Residing in Ivory Coast (finding)
Vatican City 	Vatican City 	snomedCT	SNOMEDCT:315557007	Residing in Vatican City (finding)
Laos 	Laos 	snomedCT	SNOMEDCT:315461004	Residing in Laos (finding)
England 	England 	snomedCT	SNOMEDCT:315421000	Residing in England (finding)
Haiti 	Haiti 	snomedCT	SNOMEDCT:315439009	Residing in Haiti (finding)
Canada 	Canada 	snomedCT	SNOMEDCT:315398004	Residing in Canada (finding)
Philippines 	Philippines 	snomedCT	SNOMEDCT:315502005	Residing in Philippines (finding)
Moldavia 	Moldavia 	snomedCT	SNOMEDCT:315480002	Residing in Moldavia (finding)
Niger 	Niger 	snomedCT	SNOMEDCT:315490005	Residing in Niger (finding)
