value_en	description_en	codesystem	code	description_code
Certain zoonotic bacterial diseases	Certain zoonotic bacterial diseases	ICD-10	urn:miriam:icd:A20-A28	
Arthropod-borne viral fevers and viral haemorrhagic fevers	Arthropod-borne viral fevers and viral haemorrhagic fevers	ICD-10	urn:miriam:icd:A92-A99	
Rickettsioses	Rickettsioses	ICD-10	urn:miriam:icd:A75-A79	
Other viral diseases	Other viral diseases	ICD-10	urn:miriam:icd:B25-B34	
Viral hepatitis	Viral hepatitis	ICD-10	urn:miriam:icd:B15-B19	
Protozoal diseases	Protozoal diseases	ICD-10	urn:miriam:icd:B50-B64	
Mycoses	Mycoses	ICD-10	urn:miriam:icd:B35-B49	
Other spirochaetal diseases	Other spirochaetal diseases	ICD-10	urn:miriam:icd:A65-A69	
Infections with a predominantly sexual mode of transmission	Infections with a predominantly sexual mode of transmission	ICD-10	urn:miriam:icd:A50-A64	
Viral infections of the central nervous system	Viral infections of the central nervous system	ICD-10	urn:miriam:icd:A80-A89	
Viral infections characterized by skin and mucous membrane lesions	Viral infections characterized by skin and mucous membrane lesions	ICD-10	urn:miriam:icd:B00-B09	
Helminthiases	Helminthiases	ICD-10	urn:miriam:icd:B65-B83	
Intestinal infectious diseases	Intestinal infectious diseases	ICD-10	urn:miriam:icd:A00-A09	
Human immunodeficiency virus [HIV] disease	Human immunodeficiency virus [HIV] disease	ICD-10	urn:miriam:icd:B20-B24	
Tuberculosis	Tuberculosis	ICD-10	urn:miriam:icd:A15-A19	
Other bacterial diseases	Other bacterial diseases	ICD-10	urn:miriam:icd:A30-A49	
Benign neoplasms	Benign neoplasms	ICD-10	urn:miriam:icd:D10-D36	
Melanoma and other malignant neoplasms of skin	Melanoma and other malignant neoplasms of skin	ICD-10	urn:miriam:icd:C43-C44	
Malignant neoplasms of male genital organs	Malignant neoplasms of male genital organs	ICD-10	urn:miriam:icd:C60-C63	
Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic and related tissue	Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic and related tissue	ICD-10	urn:miriam:icd:C00-C75	
Malignant neoplasms	Malignant neoplasms	ICD-10	urn:miriam:icd:C00-C97	
Other infectious diseases	Other infectious diseases	ICD-10	urn:miriam:icd:B99-B99	
Pediculosis, acariasis and other infestations	Pediculosis, acariasis and other infestations	ICD-10	urn:miriam:icd:B85-B89	
Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue	Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue	ICD-10	urn:miriam:icd:C81-C96	
Malignant neoplasms of urinary tract	Malignant neoplasms of urinary tract	ICD-10	urn:miriam:icd:C64-C68	
Malignant neoplasm of breast	Malignant neoplasm of breast	ICD-10	urn:miriam:icd:C50-C50	
In situ neoplasms	In situ neoplasms	ICD-10	urn:miriam:icd:D00-D09	
Malignant neoplasms of female genital organs	Malignant neoplasms of female genital organs	ICD-10	urn:miriam:icd:C51-C58	
Malignant neoplasms of eye, brain and other parts of central nervous system	Malignant neoplasms of eye, brain and other parts of central nervous system	ICD-10	urn:miriam:icd:C69-C72	
Malignant neoplasms of ill-defined, secondary and unspecified sites	Malignant neoplasms of ill-defined, secondary and unspecified sites	ICD-10	urn:miriam:icd:C76-C80	
Sequelae of infectious and parasitic diseases	Sequelae of infectious and parasitic diseases	ICD-10	urn:miriam:icd:B90-B94	
Malignant neoplasms of bone and articular cartilage	Malignant neoplasms of bone and articular cartilage	ICD-10	urn:miriam:icd:C40-C41	
Neoplasms of uncertain or unknown behaviour	Neoplasms of uncertain or unknown behaviour	ICD-10	urn:miriam:icd:D37-D48	
Malignant neoplasms of lip, oral cavity and pharynx	Malignant neoplasms of lip, oral cavity and pharynx	ICD-10	urn:miriam:icd:C00-C14	
Malignant neoplasms of digestive organs	Malignant neoplasms of digestive organs	ICD-10	urn:miriam:icd:C15-C26	
Malignant neoplasms of respiratory and intrathoracic organs	Malignant neoplasms of respiratory and intrathoracic organs	ICD-10	urn:miriam:icd:C30-C39	
Malignant neoplasms of mesothelial and soft tissue	Malignant neoplasms of mesothelial and soft tissue	ICD-10	urn:miriam:icd:C45-C49	
Bacterial, viral and other infectious agents	Bacterial, viral and other infectious agents	ICD-10	urn:miriam:icd:B95-B98	
Malignant neoplasms of thyroid and other endocrine glands	Malignant neoplasms of thyroid and other endocrine glands	ICD-10	urn:miriam:icd:C73-C75	
Coagulation defects, purpura and other haemorrhagic conditions	Coagulation defects, purpura and other haemorrhagic conditions	ICD-10	urn:miriam:icd:D65-D69	
Disorders of other endocrine glands	Disorders of other endocrine glands	ICD-10	urn:miriam:icd:E20-E35	
Disorders of adult personality and behaviour	Disorders of adult personality and behaviour	ICD-10	urn:miriam:icd:F60-F69	
Diabetes mellitus	Diabetes mellitus	ICD-10	urn:miriam:icd:E10-E14	
Malnutrition	Malnutrition	ICD-10	urn:miriam:icd:E40-E46	
Neurotic, stress-related and somatoform disorders	Neurotic, stress-related and somatoform disorders	ICD-10	urn:miriam:icd:F40-F48	
Haemolytic anaemias	Haemolytic anaemias	ICD-10	urn:miriam:icd:D55-D59	
Mood [affective] disorders	Mood [affective] disorders	ICD-10	urn:miriam:icd:F30-F39	
Obesity and other hyperalimentation	Obesity and other hyperalimentation	ICD-10	urn:miriam:icd:E65-E68	
Aplastic and other anaemias	Aplastic and other anaemias	ICD-10	urn:miriam:icd:D60-D64	
Other diseases of blood and blood-forming organs	Other diseases of blood and blood-forming organs	ICD-10	urn:miriam:icd:D70-D77	
Mental retardation	Mental retardation	ICD-10	urn:miriam:icd:F70-F79	
Organic, including symptomatic, mental disorders	Organic, including symptomatic, mental disorders	ICD-10	urn:miriam:icd:F00-F09	
Mental and behavioural disorders due to psychoactive substance use	Mental and behavioural disorders due to psychoactive substance use	ICD-10	urn:miriam:icd:F10-F19	
Metabolic disorders	Metabolic disorders	ICD-10	urn:miriam:icd:E70-E90	
Behavioural and emotional disorders with onset usually occurring in childhood and adolescence	Behavioural and emotional disorders with onset usually occurring in childhood and adolescence	ICD-10	urn:miriam:icd:F90-F98	
Schizophrenia, schizotypal and delusional disorders	Schizophrenia, schizotypal and delusional disorders	ICD-10	urn:miriam:icd:F20-F29	
Other disorders of glucose regulation and pancreatic internal secretion	Other disorders of glucose regulation and pancreatic internal secretion	ICD-10	urn:miriam:icd:E15-E16	
Disorders of psychological development	Disorders of psychological development	ICD-10	urn:miriam:icd:F80-F89	
Nutritional anaemias	Nutritional anaemias	ICD-10	urn:miriam:icd:D50-D53	
Disorders of thyroid gland	Disorders of thyroid gland	ICD-10	urn:miriam:icd:E00-E07	
Certain disorders involving the immune mechanism	Certain disorders involving the immune mechanism	ICD-10	urn:miriam:icd:D80-D89	
Behavioural syndromes associated with physiological disturbances and physical factors	Behavioural syndromes associated with physiological disturbances and physical factors	ICD-10	urn:miriam:icd:F50-F59	
Other disorders of ear	Other disorders of ear	ICD-10	urn:miriam:icd:H90-H95	
Disorders of conjunctiva	Disorders of conjunctiva	ICD-10	urn:miriam:icd:H10-H13	
Disorders of ocular muscles, binocular movement, accommodation and refraction	Disorders of ocular muscles, binocular movement, accommodation and refraction	ICD-10	urn:miriam:icd:H49-H52	
Diseases of middle ear and mastoid	Diseases of middle ear and mastoid	ICD-10	urn:miriam:icd:H65-H75	
