value_en	description_en	codesystem	code	description_code
silicones	silicones	UATC	UATC:A03AX13	silicones
cefatrizine	cefatrizine	UATC	UATC:J01DB07	cefatrizine
Technetium 99m compounds, central nervous system diagnostic radiopharmaceuticals	Technetium 99m compounds, central nervous system diagnostic radiopharmaceuticals	UATC	UATC:V09AA	Technetium 99m compounds, central nervous system diagnostic radiopharmaceuticals
urofollitropin	urofollitropin	UATC	UATC:G03GA04	urofollitropin
promethazine	promethazine	UATC	UATC:D04AA10	promethazine
pinacidil and diuretics	pinacidil and diuretics	UATC	UATC:C02LX01	pinacidil and diuretics
sargramostim	sargramostim	UATC	UATC:L03AA09	sargramostim
cilostazol	cilostazol	UATC	UATC:B01AC23	cilostazol
emepronium, combinations	emepronium, combinations	UATC	UATC:N05CX05	emepronium, combinations
lanadelumab	lanadelumab	UATC	UATC:B06AC05	lanadelumab
androstanolone	androstanolone	UATC	UATC:A14AA01	androstanolone
Beta blocking agents, selective, thiazides and other diuretics	Beta blocking agents, selective, thiazides and other diuretics	UATC	UATC:C07DB	Beta blocking agents, selective, thiazides and other diuretics
mefenorex	mefenorex	UATC	UATC:A08AA09	mefenorex
emtricitabine	emtricitabine	UATC	UATC:J05AF09	emtricitabine
aliskiren and amlodipine	aliskiren and amlodipine	UATC	UATC:C09XA53	aliskiren and amlodipine
imiquimod	imiquimod	UATC	UATC:D06BB10	imiquimod
THYROID THERAPY DRUGS	THYROID THERAPY DRUGS	UATC	UATC:H03	THYROID THERAPY DRUGS
chloroform	chloroform	UATC	UATC:N01AB02	chloroform
ciclonicate	ciclonicate	UATC	UATC:C04AC07	ciclonicate
Sulfonamides (heterocyclic), blood glucose lowering drugs	Sulfonamides (heterocyclic), blood glucose lowering drugs	UATC	UATC:A10BC	Sulfonamides (heterocyclic), blood glucose lowering drugs
euflavine	euflavine	UATC	UATC:D08AA03	euflavine
propyphenazone, combinations excl. psycholeptics	propyphenazone, combinations excl. psycholeptics	UATC	UATC:N02BB54	propyphenazone, combinations excl. psycholeptics
succinylsulfathiazole	succinylsulfathiazole	UATC	UATC:A07AB04	succinylsulfathiazole
hydrocortisone aceponate	hydrocortisone aceponate	UATC	UATC:D07AC16	hydrocortisone aceponate
