value_en	description_en	codesystem	code	description_code
Closed treatment of nasomaxillary complex fracture (LeFort II type), with interdental wire	Closed treatment of nasomaxillary complex fracture (LeFort II type), with interdental wire fixation or fixation of denture or splint:	CPT	CPT:21345	Closed treatment of nasomaxillary complex fracture (LeFort II type), with interdental wire fixation or fixation of denture or splint:
Ultrasonic guidance for interstitial radioelement application	Ultrasonic guidance for interstitial radioelement application:	CPT	CPT:76965	Ultrasonic guidance for interstitial radioelement application:
Excision, nasal polyp(s), extensive	Excision, nasal polyp(s), extensive:	CPT	CPT:30115	Excision, nasal polyp(s), extensive:
Heparin-protamine tolerance test	Heparin-protamine tolerance test:	CPT	CPT:85530	Heparin-protamine tolerance test:
Anesthesia for intracranial procedures; craniotomy or craniectomy for evacuation of hemato	Anesthesia for intracranial procedures; craniotomy or craniectomy for evacuation of hematoma:	CPT	CPT:00211	Anesthesia for intracranial procedures; craniotomy or craniectomy for evacuation of hematoma:
Open treatment of proximal tibiofibular joint dislocation, includes internal fixation, whe	Open treatment of proximal tibiofibular joint dislocation, includes internal fixation, when performed, or with excision of proximal fibula:	CPT	CPT:27832	Open treatment of proximal tibiofibular joint dislocation, includes internal fixation, when performed, or with excision of proximal fibula:
Antepartum care only; 4-6 visits	Antepartum care only; 4-6 visits:	CPT	CPT:59425	Antepartum care only; 4-6 visits:
Insertion of cecostomy or other colonic tube, percutaneous, under fluoroscopic guidance in	Insertion of cecostomy or other colonic tube, percutaneous, under fluoroscopic guidance including contrast injection(s), image documentation and report:	CPT	CPT:49442	Insertion of cecostomy or other colonic tube, percutaneous, under fluoroscopic guidance including contrast injection(s), image documentation and report:
Electroencephalogram (EEG) extended monitoring; greater than 1 hour	Electroencephalogram (EEG) extended monitoring; greater than 1 hour:	CPT	CPT:95813	Electroencephalogram (EEG) extended monitoring; greater than 1 hour:
Introduction of needle or intracatheter, vein	Introduction of needle or intracatheter, vein:	CPT	CPT:36000	Introduction of needle or intracatheter, vein:
Laminectomy with cordotomy, with section of 1 spinothalamic tract, 1 stage; cervical	Laminectomy with cordotomy, with section of 1 spinothalamic tract, 1 stage; cervical:	CPT	CPT:63194	Laminectomy with cordotomy, with section of 1 spinothalamic tract, 1 stage; cervical:
Pulmonary ventilation imaging, aerosol; single projection	Pulmonary ventilation imaging, aerosol; single projection:	CPT	CPT:78586	Pulmonary ventilation imaging, aerosol; single projection:
Stenger test, pure tone	Stenger test, pure tone:	CPT	CPT:92565	Stenger test, pure tone:
Antibody; lymphocytic choriomeningitis	Antibody; lymphocytic choriomeningitis:	CPT	CPT:86727	Antibody; lymphocytic choriomeningitis:
Antibody; Diphtheria	Antibody; Diphtheria:	CPT	CPT:86648	Antibody; Diphtheria:
Stereoscopic X-ray guidance for localization of target volume for the delivery of radiatio	Stereoscopic X-ray guidance for localization of target volume for the delivery of radiation therapy:	CPT	CPT:77421	Stereoscopic X-ray guidance for localization of target volume for the delivery of radiation therapy:
Protein, total, except by refractometry; urine	Protein, total, except by refractometry; urine:	CPT	CPT:84156	Protein, total, except by refractometry; urine:
