value_en	description_en	codesystem	code	description_code
Large central visual field defect		http://purl.obolibrary.org/obo/HP_0001123	HP_0001129	Large central loss of field of vision
Constriction of peripheral visual field	An absolute or relative decrease in retinal sensitivity extending from edge (periphery) of the visual field in a concentric pattern. The visual field is the area that is perceived simultaneously by a fixating eye.	http://purl.obolibrary.org/obo/HP_0001123	HP_0001133	Constricted visual field,Concentric narrowing of visual field,Limited peripheral vision,Visual field constriction,Constricted visual fields
Hypogonadotrophic hypogonadism	Hypogonadotropic hypogonadism is characterized by reduced function of the gonads (testes in males or ovaries in females) and results from the absence of the gonadal stimulating pituitary hormones: follicle stimulating hormone (FSH) and luteinizing hormone (LH).	http://purl.obolibrary.org/obo/HP_0000135	HP_0000044	Low gonadotropins (secondary hypogonadism),Hypogonadism, hypogonadotropic,Isolated hypogonadotropic hypogonadism
Lens subluxation	Partial dislocation of the lens of the eye.,Partial dislocation of the lens of the eye can be recognized by trembling of the iris (iridodonesis).	http://purl.obolibrary.org/obo/HP_0001083	HP_0001132	Partially dislocated lens
Abnormality of the scrotum		http://purl.obolibrary.org/obo/HP_0000032	HP_0000045	
Increased facial adipose tissue	An increased amount of subcutaneous fat tissue in the face.	http://purl.obolibrary.org/obo/HP_0000291	HP_0000287	Increased volume of facial adipose tissue,Increased amount of facial adipose tissue,Increased amount of facial fat,Hypertrophy of facial adipose tissue,Hyperplasia of facial adipose tissue,Facial fat hypertrophy,Facial fat hyperplasia
Chorioretinal dystrophy		http://purl.obolibrary.org/obo/HP_0000556,http://purl.obolibrary.org/obo/HP_0000532	HP_0001135	
Scrotal hypoplasia		http://purl.obolibrary.org/obo/HP_0000045,http://purl.obolibrary.org/obo/HP_0000050	HP_0000046	Smaller than typical growth of scrotum,Hypoplastic scrotum
Abnormality of the philtrum	An abnormality of the philtrum.,The paralabial region is the region surrounding the lips and includes the philtrum.	http://purl.obolibrary.org/obo/HP_0000177	HP_0000288	Abnormality of the paralabial region,Abnormality of the infranasal depression,Abnormal philtrum
Anterior polar cataract	A polar cataract that affects the anterior pole of the lens.	http://purl.obolibrary.org/obo/HP_0010696	HP_0001134	
Hypospadias	Abnormal position of urethral meatus on the ventral penile shaft (underside) characterized by displacement of the urethral meatus from the tip of the glans penis to the ventral surface of the penis, scrotum, or perineum.	http://purl.obolibrary.org/obo/HP_0100627	HP_0000047	Hypospadia
