name	label	description	entity	dataType	idAttribute	labelAttribute	visible	nillable	refEntity	rangeMin	rangeMax
generalconsentid	General Consent ID	Unique label or human-interpretable identifier for this General Consent record	generalconsent	string	TRUE	TRUE	TRUE	FALSE			
leafletid	Information on leaflet: Identifier	DC:identifier	generalconsent	hyperlink	FALSE	FALSE	TRUE	FALSE			
leaflettitle	Information on leaflet: Title	DC:title	generalconsent	string	FALSE	FALSE	TRUE	FALSE			
leafletdate	Information on leaflet: Date	DC:date	generalconsent	datetime	FALSE	FALSE	TRUE	FALSE			
leafletversion	Information on leaflet: Version	DC:hasVersion	generalconsent	string	FALSE	FALSE	TRUE	FALSE			
validfrom	Valid from	DC:valid	generalconsent	datetime	FALSE	FALSE	TRUE	FALSE			
validuntil	Valid until	DC:valid	generalconsent	datetime	FALSE	FALSE	TRUE	TRUE			
dateofaccepted	Data of accepted	DC:dateAccepted	generalconsent	datetime	FALSE	FALSE	TRUE	FALSE			
orgcreatingconsent	Organisation creating the consent	OBI:0000245	generalconsent	xref	FALSE	FALSE	TRUE	FALSE	fair-genomes_generalconsent_codebook_orgcreatingconsent		
version	Version	DC:hasVersion	generalconsent	string	FALSE	FALSE	TRUE	FALSE			
