codesystem	code	description_code	value_en	description_en
obo	obo:UBERON_0013658	corpus cavernosum maxillaris	corpus cavernosum maxillaris	corpus cavernosum maxillaris
obo	obo:UBERON_0010939	zygomaticomandibularis muscle	zygomaticomandibularis muscle	zygomaticomandibularis muscle
obo	obo:PR_000001889	PR_000001889	PR_000001889	PR_000001889
obo	obo:UBERON_0007764	paramedian reticular nucleus	paramedian reticular nucleus	paramedian reticular nucleus
obo	obo:UBERON_0018648	upper premolar 4	upper premolar 4	upper premolar 4
obo	obo:UBERON_0017627	rectal valve	rectal valve	rectal valve
obo	obo:UBERON_2005197	obsolete MiD3i	obsolete MiD3i	obsolete MiD3i
obo	obo:UBERON_2001797	epibranchial 1 bone uncinate process	epibranchial 1 bone uncinate process	epibranchial 1 bone uncinate process
obo	obo:UBERON_0004194	long nephron	long nephron	long nephron
obo	obo:UBERON_6001919	embryonic/larval central nervous system	embryonic/larval central nervous system	embryonic/larval central nervous system
obo	obo:UBERON_0004036	obsolete retinal cone cell inner segment	obsolete retinal cone cell inner segment	obsolete retinal cone cell inner segment
obo	obo:UBERON_3010227	costal protuberances	costal protuberances	costal protuberances
obo	obo:UBERON_6007233	internal sensillum	internal sensillum	internal sensillum
obo	obo:UBERON_0022620	obsolete regional part of eye	obsolete regional part of eye	obsolete regional part of eye
obo	obo:UBERON_0001873	caudate nucleus	caudate nucleus	caudate nucleus
obo	obo:PR_000009623	PR_000009623	PR_000009623	PR_000009623
obo	obo:UBERON_0004476	musculature of shoulder	musculature of shoulder	musculature of shoulder
obo	obo:UBERON_0005102	late distal convoluted tubule	late distal convoluted tubule	late distal convoluted tubule
obo	obo:UBERON_0009719	tunicate siphon	tunicate siphon	tunicate siphon
obo	obo:UBERON_4300022	anteroventral plate	anteroventral plate	anteroventral plate
obo	obo:UBERON_4200229	incurrent foramen of ectepicondylar foramen	incurrent foramen of ectepicondylar foramen	incurrent foramen of ectepicondylar foramen
obo	obo:UBERON_0002776	ventral nuclear group	ventral nuclear group	ventral nuclear group
obo	obo:UBERON_0015476	nose skin	nose skin	nose skin
obo	obo:UBERON_0013776	skin of palmar/plantar part of autopod	skin of palmar/plantar part of autopod	skin of palmar/plantar part of autopod
obo	obo:UBERON_3010465	animal cap outer layer	animal cap outer layer	animal cap outer layer
obo	obo:UBERON_0006785	gray matter layer of superior colliculus	gray matter layer of superior colliculus	gray matter layer of superior colliculus
obo	obo:UBERON_0004390	epiphysis of metacarpal bone	epiphysis of metacarpal bone	epiphysis of metacarpal bone
obo	obo:UBERON_2002284	body marking	body marking	body marking
obo	obo:UBERON_0006090	glossopharyngeal nerve fiber bundle	glossopharyngeal nerve fiber bundle	glossopharyngeal nerve fiber bundle
obo	obo:UBERON_0013126	vein of abdomen	vein of abdomen	vein of abdomen
obo	obo:UBERON_3010820	suboccular arch	suboccular arch	suboccular arch
obo	obo:UBERON_0001239	muscularis mucosae of large intestine	muscularis mucosae of large intestine	muscularis mucosae of large intestine
obo	obo:UBERON_0014371	future telencephalon	future telencephalon	future telencephalon
obo	obo:UBERON_0010523	microcirculatory vessel	microcirculatory vessel	microcirculatory vessel
obo	obo:UBERON_2005126	intestinal bulb epithelium	intestinal bulb epithelium	intestinal bulb epithelium
obo	obo:UBERON_0002811	left frontal lobe	left frontal lobe	left frontal lobe
obo	obo:UBERON_0004511	skeletal muscle tissue of rectus abdominis	skeletal muscle tissue of rectus abdominis	skeletal muscle tissue of rectus abdominis
obo	obo:UBERON_0018114	right kidney interstitium	right kidney interstitium	right kidney interstitium
obo	obo:UBERON_0001679	ethmoid bone	ethmoid bone	ethmoid bone
obo	obo:UBERONTEMP_0ea3066e-0c22-417b-8ac4-91c2aacba792	UBERONTEMP_0ea3066e-0c22-417b-8ac4-91c2aacba792	UBERONTEMP_0ea3066e-0c22-417b-8ac4-91c2aacba792	UBERONTEMP_0ea3066e-0c22-417b-8ac4-91c2aacba792
obo	obo:UBERON_0024000	cerebellum hemispheric lobule IV	cerebellum hemispheric lobule IV	cerebellum hemispheric lobule IV
obo	obo:UBERON_0008820	anterior mediastinum	anterior mediastinum	anterior mediastinum
obo	obo:UBERON_0011660	hypoplastron	hypoplastron	hypoplastron
obo	obo:UBERON_0004466	musculature of leg	musculature of leg	musculature of leg
obo	obo:UBERON_0002766	fusiform gyrus	fusiform gyrus	fusiform gyrus
obo	obo:UBERON_2001960	ceratobranchial 4 bone distal cartilage	ceratobranchial 4 bone distal cartilage	ceratobranchial 4 bone distal cartilage
obo	obo:UBERON_0003057	chordal neural plate	chordal neural plate	chordal neural plate
obo	obo:UBERON_0002615	ventral tegmental decussation	ventral tegmental decussation	ventral tegmental decussation
obo	obo:UBERON_0000915	thoracic segment of trunk	thoracic segment of trunk	thoracic segment of trunk
obo	obo:UBERON_0000220	atlanto-occipital joint	atlanto-occipital joint	atlanto-occipital joint
obo	obo:UBERON_0005218	diencephalon subarachnoid space	diencephalon subarachnoid space	diencephalon subarachnoid space
obo	obo:UBERON_0004927	submucosa of cecum	submucosa of cecum	submucosa of cecum
obo	obo:UBERON_0034953	embryonic lymph sac	embryonic lymph sac	embryonic lymph sac
obo	obo:UBERON_0003832	esophagus muscle	esophagus muscle	esophagus muscle
obo	obo:UBERON_0022426	superior corona radiata	superior corona radiata	superior corona radiata
obo	obo:UBERON_0001669	superior cerebellar vein	superior cerebellar vein	superior cerebellar vein
obo	obo:PR_000001932	PR_000001932	PR_000001932	PR_000001932
obo	obo:UBERON_0011856	acinus of lactiferous gland	acinus of lactiferous gland	acinus of lactiferous gland
obo	obo:UBERON_3010007	pit organ	pit organ	pit organ
obo	obo:UBERON_0002116	ileum	ileum	ileum
obo	obo:UBERON_0005978	olfactory bulb outer nerve layer	olfactory bulb outer nerve layer	olfactory bulb outer nerve layer
obo	obo:UBERON_0002040	bronchial artery	bronchial artery	bronchial artery
obo	obo:UBERON_0023867	islands of Calleja of olfactory tubercle	islands of Calleja of olfactory tubercle	islands of Calleja of olfactory tubercle
obo	obo:UBERON_2005040	obsolete posterior lateral mesoderm	obsolete posterior lateral mesoderm	obsolete posterior lateral mesoderm
obo	obo:UBERON_0027728	obsolete predominantly gray regional part of anterior nuclear group	obsolete predominantly gray regional part of anterior nuclear group	obsolete predominantly gray regional part of anterior nuclear group
obo	obo:UBERON_0022730	transverse frontopolar gyri complex	transverse frontopolar gyri complex	transverse frontopolar gyri complex
obo	obo:UBERON_0005404	frontonasal suture	frontonasal suture	frontonasal suture
obo	obo:UBERON_3000839	crista radii	crista radii	crista radii
obo	obo:UBERON_2001147	tooth 2MD	tooth 2MD	tooth 2MD
obo	obo:UBERON_2000939	middle lateral line neuromast	middle lateral line neuromast	middle lateral line neuromast
obo	obo:UBERON_0003948	blood-air barrier	blood-air barrier	blood-air barrier
obo	obo:UBERON_0001553	medial tarsal artery	medial tarsal artery	medial tarsal artery
obo	obo:UBERON_0003253	neck of rib	neck of rib	neck of rib
obo	obo:UBERON_0022740	obsolete superficial feature part of pons	obsolete superficial feature part of pons	obsolete superficial feature part of pons
obo	obo:UBERON_0013116	venom gland musculature	venom gland musculature	venom gland musculature
obo	obo:UBERON_0000416	subdural space	subdural space	subdural space
obo	obo:UBERON_3000713	epichordal	epichordal	epichordal
obo	obo:UBERON_0006541	outer medulla inner stripe loop of Henle	outer medulla inner stripe loop of Henle	outer medulla inner stripe loop of Henle
obo	obo:UBERON_2005116	secondary posterior lateral line primordium	secondary posterior lateral line primordium	secondary posterior lateral line primordium
obo	obo:UBERON_0003822	forelimb stylopod	forelimb stylopod	forelimb stylopod
obo	obo:UBERON_2000482	caudal tuberal nucleus	caudal tuberal nucleus	caudal tuberal nucleus
obo	obo:UBERON_0004468	set of muscles of vertebral column	set of muscles of vertebral column	set of muscles of vertebral column
obo	obo:UBERON_0011846	acinus of sebaceous gland	acinus of sebaceous gland	acinus of sebaceous gland
obo	obo:UBERON_0003059	presomitic mesoderm	presomitic mesoderm	presomitic mesoderm
obo	obo:UBERON_0025763	rostral sulcus	rostral sulcus	rostral sulcus
obo	obo:UBERON_0010751	squamous part of temporal bone primordium	squamous part of temporal bone primordium	squamous part of temporal bone primordium
obo	obo:UBERON_0001019	nerve fasciculus	nerve fasciculus	nerve fasciculus
obo	obo:UBERON_0008437	posterior arch of atlas	posterior arch of atlas	posterior arch of atlas
obo	obo:UBERON_0010709	pelvic complex	pelvic complex	pelvic complex
obo	obo:UBERON_0014612	substantia gelatinosa of thoracic spinal cord dorsal horn	substantia gelatinosa of thoracic spinal cord dorsal horn	substantia gelatinosa of thoracic spinal cord dorsal horn
obo	obo:UBERON_0002725	UBERON_0002725	UBERON_0002725	UBERON_0002725
obo	obo:UBERON_0004425	proximal epiphysis of fourth metacarpal bone	proximal epiphysis of fourth metacarpal bone	proximal epiphysis of fourth metacarpal bone
obo	obo:UBERON_4200192	ulnar facet of the humerus	ulnar facet of the humerus	ulnar facet of the humerus
obo	obo:UBERON_0002030	nipple	nipple	nipple
obo	obo:UBERON_0006286	radius cartilage element	radius cartilage element	radius cartilage element
obo	obo:UBERON_0001983	crypt of Lieberkuhn	crypt of Lieberkuhn	crypt of Lieberkuhn
obo	obo:UBERON_2001577	premaxilla ascending process	premaxilla ascending process	premaxilla ascending process
obo	obo:UBERON_4300132	glossopharyngeal nerve foramen	glossopharyngeal nerve foramen	glossopharyngeal nerve foramen
obo	obo:UBERON_0002886	lateral amygdaloid nucleus	lateral amygdaloid nucleus	lateral amygdaloid nucleus
obo	obo:NCBITaxon_9850	Cervidae	Cervidae	Cervidae
obo	obo:UBERON_3000829	margo scapularis	margo scapularis	margo scapularis
obo	obo:UBERON_0010719	girdle skeleton	girdle skeleton	girdle skeleton
obo	obo:UBERON_3000871	fossula tuberis superioris	fossula tuberis superioris	fossula tuberis superioris
obo	obo:UBERON_0009692	lumen of pharyngotympanic tube	lumen of pharyngotympanic tube	lumen of pharyngotympanic tube
obo	obo:UBERON_0026586	vestibular canal	vestibular canal	vestibular canal
obo	obo:UBERON_0005844	spinal cord segment	spinal cord segment	spinal cord segment
obo	obo:UBERON_3010734	M. flexor carpi ulnaris	M. flexor carpi ulnaris	M. flexor carpi ulnaris
obo	obo:UBERON_0000000	processual entity	processual entity	processual entity
obo	obo:UBERON_0035636	lower quadrant of breast	lower quadrant of breast	lower quadrant of breast
obo	obo:UBERON_2001300	vagal placode 4	vagal placode 4	vagal placode 4
obo	obo:UBERON_0001902	epithelium of small intestine	epithelium of small intestine	epithelium of small intestine
obo	obo:UBERON_0001789	outer nuclear layer of retina	outer nuclear layer of retina	outer nuclear layer of retina
obo	obo:UBERON_0003489	respiratory system capillary endothelium	respiratory system capillary endothelium	respiratory system capillary endothelium
obo	obo:UBERON_0018108	superior auricular muscle	superior auricular muscle	superior auricular muscle
obo	obo:UBERON_0001094	sacral vertebra	sacral vertebra	sacral vertebra
obo	obo:UBERON_0014602	paraventricular nucleus of the hypothalamus descending division	paraventricular nucleus of the hypothalamus descending division	paraventricular nucleus of the hypothalamus descending division
obo	obo:UBERON_0028205	obsolete regional part of vestibular ganglion	obsolete regional part of vestibular ganglion	obsolete regional part of vestibular ganglion
obo	obo:UBERON_3000372	obsolete palatine	obsolete palatine	obsolete palatine
obo	obo:UBERON_0002460	vesical vein	vesical vein	vesical vein
obo	obo:UBERON_3010235	nuchal groove	nuchal groove	nuchal groove
obo	obo:UBERON_2002054	vertebra 5-vertebra 6 joint	vertebra 5-vertebra 6 joint	vertebra 5-vertebra 6 joint
obo	obo:UBERON_0001215	inferior mesenteric vein	inferior mesenteric vein	inferior mesenteric vein
obo	obo:UBERON_0005063	left ventricular compact myocardium	left ventricular compact myocardium	left ventricular compact myocardium
obo	obo:UBERON_0003363	epithelium of ductus reuniens	epithelium of ductus reuniens	epithelium of ductus reuniens
obo	obo:UBERON_0024550	obsolete predominantly white regional part of red nucleus	obsolete predominantly white regional part of red nucleus	obsolete predominantly white regional part of red nucleus
obo	obo:UBERON_0002921	longitudinal fissure	longitudinal fissure	longitudinal fissure
obo	obo:UBERON_0004621	lumbar vertebra 5	lumbar vertebra 5	lumbar vertebra 5
obo	obo:UBERON_0035550	superficial vein	superficial vein	superficial vein
obo	obo:UBERON_0007224	medial entorhinal cortex	medial entorhinal cortex	medial entorhinal cortex
obo	obo:UBERON_0006321	superior oblique extraocular muscle	superior oblique extraocular muscle	superior oblique extraocular muscle
obo	obo:PR_000008982	PR_000008982	PR_000008982	PR_000008982
obo	obo:UBERON_2005118	middle lateral line primordium	middle lateral line primordium	middle lateral line primordium
obo	obo:UBERON_2002064	uroneural 1	uroneural 1	uroneural 1
obo	obo:UBERON_0010064	open anatomical space	open anatomical space	open anatomical space
obo	obo:UBERON_0002470	autopod region	autopod region	autopod region
obo	obo:UBERON_0022357	mesentery of ileum	mesentery of ileum	mesentery of ileum
obo	obo:UBERON_2000364	hypural	hypural	hypural
obo	obo:UBERON_0011770	mentomeckelian	mentomeckelian	mentomeckelian
obo	obo:UBERON_0013470	UBERON_0013470	UBERON_0013470	UBERON_0013470
obo	obo:PATO_0002008	concave 3-D shape	concave 3-D shape	concave 3-D shape
obo	obo:UBERON_0001333	male urethra	male urethra	male urethra
obo	obo:NCBITaxon_9606	Homo sapiens	Homo sapiens	Homo sapiens
obo	obo:UBERON_0013236	ventral trunk	ventral trunk	ventral trunk
obo	obo:UBERON_0003049	collagen and cuticulin-based cuticle	collagen and cuticulin-based cuticle	collagen and cuticulin-based cuticle
obo	obo:UBERON_0012333	ovarian bursa	ovarian bursa	ovarian bursa
obo	obo:UBERON_0005642	ultimobranchial body epithelium	ultimobranchial body epithelium	ultimobranchial body epithelium
obo	obo:UBERON_2000933	myotome somite 5	myotome somite 5	myotome somite 5
obo	obo:UBERON_0018342	nuchal hump	nuchal hump	nuchal hump
obo	obo:UBERON_0012131	centrale	centrale	centrale
obo	obo:UBERON_0018538	breast feather	breast feather	breast feather
obo	obo:UBERON_0029538	sacral spinal cord lateral horn	sacral spinal cord lateral horn	sacral spinal cord lateral horn
obo	obo:UBERON_0028401	Hadjikhani et al. (1998) visuotopic area V2v	Hadjikhani et al. (1998) visuotopic area V2v	Hadjikhani et al. (1998) visuotopic area V2v
obo	obo:UBERON_5101463	manual digit 1 digitopodial skeleton	manual digit 1 digitopodial skeleton	manual digit 1 digitopodial skeleton
obo	obo:UBERON_0003479	thoracic cavity vein	thoracic cavity vein	thoracic cavity vein
obo	obo:UBERON_4200119	pubis-ischium contact	pubis-ischium contact	pubis-ischium contact
obo	obo:UBERON_0000966	retina	retina	retina
obo	obo:UBERON_0014793	musculature of pectoral complex	musculature of pectoral complex	musculature of pectoral complex
obo	obo:UBERON_0004696	venous system smooth muscle	venous system smooth muscle	venous system smooth muscle
obo	obo:UBERON_0015084	distal carpal bone 1 endochondral element	distal carpal bone 1 endochondral element	distal carpal bone 1 endochondral element
