value_en	description_en	codesystem	code	description_code
Finland 	Finland 	snomedCT	SNOMEDCT:315426005	Born in Finland (finding)
Congo 	Congo 	snomedCT	SNOMEDCT:315407002	Born in Congo (finding)
Indonesia 	Indonesia 	snomedCT	SNOMEDCT:315445001	Born in Indonesia (finding)
Peru 	Peru 	snomedCT	SNOMEDCT:315501003	Born in Peru (finding)
Georgia 	Georgia 	snomedCT	SNOMEDCT:315430008	Born in Georgia (finding)
Mongolia 	Mongolia 	snomedCT	SNOMEDCT:315482005	Born in Mongolia (finding)
Angola 	Angola 	snomedCT	SNOMEDCT:315369003	Born in Angola (finding)
Denmark 	Denmark 	snomedCT	SNOMEDCT:315414000	Born in Denmark (finding)
Belize 	Belize 	snomedCT	SNOMEDCT:315382006	Born in Belize (finding)
Malta 	Malta 	snomedCT	SNOMEDCT:315476007	Born in Malta (finding)
Australia 	Australia 	snomedCT	SNOMEDCT:315374006	Born in Australia (finding)
Switzerland 	Switzerland 	snomedCT	SNOMEDCT:315535000	Born in Switzerland (finding)
Maldives 	Maldives 	snomedCT	SNOMEDCT:315474005	Born in Maldives (finding)
Central African Republic 	Central African Republic 	snomedCT	SNOMEDCT:315400000	Born in Central African Republic (finding)
Bhutan 	Bhutan 	snomedCT	SNOMEDCT:315385008	Born in Bhutan (finding)
Syria 	Syria 	snomedCT	SNOMEDCT:315536004	Born in Syria (finding)
Zimbabwe 	Zimbabwe 	snomedCT	SNOMEDCT:315565005	Born in Zimbabwe (finding)
Croatia 	Croatia 	snomedCT	SNOMEDCT:315409004	Born in Croatia (finding)
Ivory Coast 	Ivory Coast 	snomedCT	SNOMEDCT:315451006	Born in Ivory Coast (finding)
Vatican City 	Vatican City 	snomedCT	SNOMEDCT:315557007	Born in Vatican City (finding)
Laos 	Laos 	snomedCT	SNOMEDCT:315461004	Born in Laos (finding)
England 	England 	snomedCT	SNOMEDCT:315421000	Born in England (finding)
Haiti 	Haiti 	snomedCT	SNOMEDCT:315439009	Born in Haiti (finding)
Canada 	Canada 	snomedCT	SNOMEDCT:315398004	Born in Canada (finding)
Philippines 	Philippines 	snomedCT	SNOMEDCT:315502005	Born in Philippines (finding)
Moldavia 	Moldavia 	snomedCT	SNOMEDCT:315480002	Born in Moldavia (finding)
Niger 	Niger 	snomedCT	SNOMEDCT:315490005	Born in Niger (finding)
Cuba 	Cuba 	snomedCT	SNOMEDCT:315410009	Born in Cuba (finding)
Comoros Islands 	Comoros Islands 	snomedCT	SNOMEDCT:315406006	Born in Comoros Islands (finding)
Turkmenistan 	Turkmenistan 	snomedCT	SNOMEDCT:315548001	Born in Turkmenistan (finding)
Argentina 	Argentina 	snomedCT	SNOMEDCT:315372005	Born in Argentina (finding)
Nepal 	Nepal 	snomedCT	SNOMEDCT:315487004	Born in Nepal (finding)
Nigeria 	Nigeria 	snomedCT	SNOMEDCT:315491009	Born in Nigeria (finding)
Germany 	Germany 	snomedCT	SNOMEDCT:315431007	Born in Germany (finding)
Hong Kong 	Hong Kong 	snomedCT	SNOMEDCT:315441005	Born in Hong Kong (finding)
USA 	USA 	snomedCT	SNOMEDCT:315550009	Born in USA (finding)
Sri Lanka 	Sri Lanka 	snomedCT	SNOMEDCT:315527003	Born in Sri Lanka (finding)
Mali 	Mali 	snomedCT	SNOMEDCT:315475006	Born in Mali (finding)
Iran 	Iran 	snomedCT	SNOMEDCT:315446000	Born in Iran (finding)
Sweden 	Sweden 	snomedCT	SNOMEDCT:315534001	Born in Sweden (finding)
Djibouti 	Djibouti 	snomedCT	SNOMEDCT:315415004	Born in Djibouti (finding)
Jordan 	Jordan 	snomedCT	SNOMEDCT:315454003	Born in Jordan (finding)
Lebanon 	Lebanon 	snomedCT	SNOMEDCT:315463001	Born in Lebanon (finding)
Tonga 	Tonga 	snomedCT	SNOMEDCT:315544004	Born in Tonga (finding)
Malaysia 	Malaysia 	snomedCT	SNOMEDCT:315473004	Born in Malaysia (finding)
North Korea 	North Korea 	snomedCT	SNOMEDCT:315492002	Born in North Korea (finding)
