value_en	description_en	codesystem	code	description_code
Academic Medical Center Biobank	Academic Medical Center Biobank	bbmri-eric	bbmri-eric:ID:NL_AAAACVOEOZ2UYZSUAVNCZ2AAAE	Academic Medical Center Biobank
ACS Biobank	ACS Biobank	bbmri-eric	bbmri-eric:ID:NL_AAAACXO74F5GMACQK2ME25QAAE	ACS Biobank
AGNES Biobank	AGNES Biobank	bbmri-eric	bbmri-eric:ID:NL_AAAACYWY5TBZGACQK2MDM4QAAE	AGNES Biobank
AMC Renal Transplant Biobank	AMC Renal Transplant Biobank	bbmri-eric	bbmri-eric:ID:NL_AAAACXPAF5YXYACQK2ME25QAAM	AMC Renal Transplant Biobank
Amsterdam UMC Biobank: Location AMC	Amsterdam UMC Biobank: Location AMC	bbmri-eric	bbmri-eric:ID:NL_AMCBB	Amsterdam UMC Biobank: Location AMC
ARGOS NL	ARGOS Biobank	bbmri-eric	bbmri-eric:ID:NL_AAAACXPJ3VCTUACQK2ME25QAAE	ARGOS NL
ARREST Biobank	ARREST Biobank	bbmri-eric	bbmri-eric:ID:NL_AAAACXPKMVPYIACQK2ME25QAAE	ARREST Biobank
BBMRI-Omics	BBMRI-Omics	bbmri-eric	bbmri-eric:ID:NL_aaaaczxoioaeoacqk2mo6qaaae	BBMRI-Omics
Binnenstebuiten Biobank	Binnenstebuiten Biobank	bbmri-eric	bbmri-eric:ID:NL_AAAACXPJXQJHAACQK2ME25QAAE	Binnenstebuiten Biobank
Biobank Hemoglobinopathy	Biobank Hemoglobinopathy	bbmri-eric	bbmri-eric:ID:NL_aaaac2dvrk2baacqk2mpm4yaae	Biobank Hemoglobinopathy
Biobank Interstitial Lung Disease	Biobank Interstitial Lung Disease	bbmri-eric	bbmri-eric:ID:NL_AAAACXPJX4UB6ACQK2ME25QAAE	Biobank Interstitial Lung Disease
BioBank Maastricht UMC	BioBank Maastricht UMC	bbmri-eric	bbmri-eric:ID:NL_AAAACVKPKFJ4CZSUAVNCZ2AAAE	BioBank Maastricht UMC
Biobank of the department gerontology and nephrology - LUMC	Biobank of the department gerontology and nephrology - LUMC	bbmri-eric	bbmri-eric:ID:NL_aaaaczxoatpr2acqk2mo6qaaae	Biobank of the department gerontology and nephrology - LUMC
Biobank Reproduction and Development	Biobank Reproduction and Development	bbmri-eric	bbmri-eric:ID:NL_AAAACXPF7SEQEACQK2ME25QAAE	Biobank Reproduction and Development
Biobank+NKI	Biobank+NKI	bbmri-eric	bbmri-eric:ID:NL_AAAACXSW447PSACQK2MBZ5YAAM	Biobank+NKI
BOSOM Biobank	BOSOM Biobank	bbmri-eric	bbmri-eric:ID:NL_AAAACXPKPSTGWACQK2ME25QAAE	BOSOM Biobank
CDDSS Knowledge base	CDDSS Knowledge base	bbmri-eric	bbmri-eric:ID:NL_AAAACYAIDV754ACQK2MBZ5YAAI	CDDSS Knowledge base
Centrale Biobank UMC Utrecht	Centrale Biobank UMC Utrecht	bbmri-eric	bbmri-eric:ID:NL_CBB	Centrale Biobank UMC Utrecht
Cluster Biobank	Cluster Biobank	bbmri-eric	bbmri-eric:ID:NL_AAAACXPAPP4NIACQK2ME25QAAE	Cluster Biobank
CuraSAB Biobank	CuraSAB Biobank	bbmri-eric	bbmri-eric:ID:NL_AAAACXPASYLVKACQK2ME25QAAE	CuraSAB Biobank
Databiobank OncoLifeS	Databiobank OncoLifeS	bbmri-eric	bbmri-eric:ID:NL_aaaac2rbppbqeacqk2mpm4yaae	Databiobank OncoLifeS
Diabetes care system West-Friesland Biobank	Diabetes care system West-Friesland Biobank	bbmri-eric	bbmri-eric:ID:NL_AAAACXPJW5GJ6ACQK2ME25QAAM	Diabetes care system West-Friesland Biobank
