value_en	description_en	codesystem	code	description_code
Finland 	Finland 	snomedCT	SNOMEDCT:315426005	Ethnic origins in Finland (finding)
Congo 	Congo 	snomedCT	SNOMEDCT:315407002	Ethnic origins in Congo (finding)
Indonesia 	Indonesia 	snomedCT	SNOMEDCT:315445001	Ethnic origins in Indonesia (finding)
Peru 	Peru 	snomedCT	SNOMEDCT:315501003	Ethnic origins in Peru (finding)
Georgia 	Georgia 	snomedCT	SNOMEDCT:315430008	Ethnic origins in Georgia (finding)
Mongolia 	Mongolia 	snomedCT	SNOMEDCT:315482005	Ethnic origins in Mongolia (finding)
Angola 	Angola 	snomedCT	SNOMEDCT:315369003	Ethnic origins in Angola (finding)
Denmark 	Denmark 	snomedCT	SNOMEDCT:315414000	Ethnic origins in Denmark (finding)
Belize 	Belize 	snomedCT	SNOMEDCT:315382006	Ethnic origins in Belize (finding)
Malta 	Malta 	snomedCT	SNOMEDCT:315476007	Ethnic origins in Malta (finding)
Australia 	Australia 	snomedCT	SNOMEDCT:315374006	Ethnic origins in Australia (finding)
Switzerland 	Switzerland 	snomedCT	SNOMEDCT:315535000	Ethnic origins in Switzerland (finding)
Maldives 	Maldives 	snomedCT	SNOMEDCT:315474005	Ethnic origins in Maldives (finding)
Central African Republic 	Central African Republic 	snomedCT	SNOMEDCT:315400000	Ethnic origins in Central African Republic (finding)
Bhutan 	Bhutan 	snomedCT	SNOMEDCT:315385008	Ethnic origins in Bhutan (finding)
Syria 	Syria 	snomedCT	SNOMEDCT:315536004	Ethnic origins in Syria (finding)
Zimbabwe 	Zimbabwe 	snomedCT	SNOMEDCT:315565005	Ethnic origins in Zimbabwe (finding)
Croatia 	Croatia 	snomedCT	SNOMEDCT:315409004	Ethnic origins in Croatia (finding)
Ivory Coast 	Ivory Coast 	snomedCT	SNOMEDCT:315451006	Ethnic origins in Ivory Coast (finding)
Vatican City 	Vatican City 	snomedCT	SNOMEDCT:315557007	Ethnic origins in Vatican City (finding)
Laos 	Laos 	snomedCT	SNOMEDCT:315461004	Ethnic origins in Laos (finding)
England 	England 	snomedCT	SNOMEDCT:315421000	Ethnic origins in England (finding)
Haiti 	Haiti 	snomedCT	SNOMEDCT:315439009	Ethnic origins in Haiti (finding)
Canada 	Canada 	snomedCT	SNOMEDCT:315398004	Ethnic origins in Canada (finding)
Philippines 	Philippines 	snomedCT	SNOMEDCT:315502005	Ethnic origins in Philippines (finding)
Moldavia 	Moldavia 	snomedCT	SNOMEDCT:315480002	Ethnic origins in Moldavia (finding)
Niger 	Niger 	snomedCT	SNOMEDCT:315490005	Ethnic origins in Niger (finding)
Cuba 	Cuba 	snomedCT	SNOMEDCT:315410009	Ethnic origins in Cuba (finding)
Comoros Islands 	Comoros Islands 	snomedCT	SNOMEDCT:315406006	Ethnic origins in Comoros Islands (finding)
Turkmenistan 	Turkmenistan 	snomedCT	SNOMEDCT:315548001	Ethnic origins in Turkmenistan (finding)
Argentina 	Argentina 	snomedCT	SNOMEDCT:315372005	Ethnic origins in Argentina (finding)
Nepal 	Nepal 	snomedCT	SNOMEDCT:315487004	Ethnic origins in Nepal (finding)
Nigeria 	Nigeria 	snomedCT	SNOMEDCT:315491009	Ethnic origins in Nigeria (finding)
Germany 	Germany 	snomedCT	SNOMEDCT:315431007	Ethnic origins in Germany (finding)
Hong Kong 	Hong Kong 	snomedCT	SNOMEDCT:315441005	Ethnic origins in Hong Kong (finding)
USA 	USA 	snomedCT	SNOMEDCT:315550009	Ethnic origins in USA (finding)
Sri Lanka 	Sri Lanka 	snomedCT	SNOMEDCT:315527003	Ethnic origins in Sri Lanka (finding)
Mali 	Mali 	snomedCT	SNOMEDCT:315475006	Ethnic origins in Mali (finding)
