value_en	description_en	codesystem	code	description_code
NEXTFLEX Unique Dual Index Barcodes by PerkinElmer	NEXTFLEX Unique Dual Index Barcodes by PerkinElmer	biocompare.com	na	biocompare.com, May 2020
SEQuoia Complete Stranded RNA Library Prep Kit by Bio-Rad	SEQuoia Complete Stranded RNA Library Prep Kit by Bio-Rad	biocompare.com	na	biocompare.com, May 2020
KAPA HyperPlus Kits by Roche	KAPA HyperPlus Kits by Roche	biocompare.com	na	biocompare.com, May 2020
Twist Human Core Exome Kit by Twist Bioscience	Twist Human Core Exome Kit by Twist Bioscience	biocompare.com	na	biocompare.com, May 2020
Driver-Map Human Genome-Wide Targeted Expression Profiling Kit (24 reactions) by Cellecta	Driver-Map Human Genome-Wide Targeted Expression Profiling Kit (24 reactions) by Cellecta	biocompare.com	na	biocompare.com, May 2020
ChIP-seq Kit For Histones (High Sensitivity) by BosterBio	ChIP-seq Kit For Histones (High Sensitivity) by BosterBio	biocompare.com	na	biocompare.com, May 2020
ChIP-seq Kit For Transcription Factors (High Sensitivity) by BosterBio	ChIP-seq Kit For Transcription Factors (High Sensitivity) by BosterBio	biocompare.com	na	biocompare.com, May 2020
HyperCap Workflow by Roche	HyperCap Workflow by Roche	biocompare.com	na	biocompare.com, May 2020
SeqCap RNA System by Roche	SeqCap RNA System by Roche	biocompare.com	na	biocompare.com, May 2020
MagicPureTM Size Selection DNA Beads by TransGen Biotech Co., LTD	MagicPureTM Size Selection DNA Beads by TransGen Biotech Co., LTD	biocompare.com	na	biocompare.com, May 2020
NEXTFLEX UDI Barcodes (1-1,536) by PerkinElmer	NEXTFLEX UDI Barcodes (1-1,536) by PerkinElmer	biocompare.com	na	biocompare.com, May 2020
NEXTflex Small RNA Sequencing Kit v3 for Illumina Platforms by PerkinElmer	NEXTflex Small RNA Sequencing Kit v3 for Illumina Platforms by PerkinElmer	biocompare.com	na	biocompare.com, May 2020
Blunt/TA Ligase Master Mix by New England Biolabs	Blunt/TA Ligase Master Mix by New England Biolabs	biocompare.com	na	biocompare.com, May 2020
NEBNext ChIP-Seq Library Prep Master Mix Set for Illumina by New England Biolabs	NEBNext ChIP-Seq Library Prep Master Mix Set for Illumina by New England Biolabs	biocompare.com	na	biocompare.com, May 2020
Auto ChIPmentation for Histones by Diagenode	Auto ChIPmentation for Histones by Diagenode	biocompare.com	na	biocompare.com, May 2020
Auto MagMeDIP 10 rxn by Diagenode	Auto MagMeDIP 10 rxn by Diagenode	biocompare.com	na	biocompare.com, May 2020
InviGene Bisulfite Conversion Kit - 50 conversions by AS ONE INTERNATIONAL	InviGene Bisulfite Conversion Kit - 50 conversions by AS ONE INTERNATIONAL	biocompare.com	na	biocompare.com, May 2020
InviMag Bisulfite Conversion Kit/ IG - 4 x 12 conversions by AS ONE INTERNATIONAL	InviMag Bisulfite Conversion Kit/ IG - 4 x 12 conversions by AS ONE INTERNATIONAL	biocompare.com	na	biocompare.com, May 2020
EpiNext Bisulfite Sequencing Kit (Illumina) by EpiGentek	EpiNext Bisulfite Sequencing Kit (Illumina) by EpiGentek	biocompare.com	na	biocompare.com, May 2020
EpiNext ChIP-Seq High-Sensitivity Kit (Illumina) by EpiGentek	EpiNext ChIP-Seq High-Sensitivity Kit (Illumina) by EpiGentek	biocompare.com	na	biocompare.com, May 2020
Seq-Star DNA Size Selection Kit by Arraystar, Inc	Seq-Star DNA Size Selection Kit by Arraystar, Inc	biocompare.com	na	biocompare.com, May 2020
Seq-Star poly(A) mRNA Isolation Kit by Arraystar, Inc	Seq-Star poly(A) mRNA Isolation Kit by Arraystar, Inc	biocompare.com	na	biocompare.com, May 2020
Auto MagMeDIP 48 rxn by Diagenode	Auto MagMeDIP 48 rxn by Diagenode	biocompare.com	na	biocompare.com, May 2020
Auto Universal Plant ChIP-seq kit by Diagenode	Auto Universal Plant ChIP-seq kit by Diagenode	biocompare.com	na	biocompare.com, May 2020
Auto iDeal ChIP-seq Kit for Transcription Factors by Diagenode	Auto iDeal ChIP-seq Kit for Transcription Factors by Diagenode	biocompare.com	na	biocompare.com, May 2020
Auto iDeal ChIP-seq Kit for Transcription Factors x24 by Diagenode	Auto iDeal ChIP-seq Kit for Transcription Factors x24 by Diagenode	biocompare.com	na	biocompare.com, May 2020
Auto iDeal ChIP-seq kit for Histones x100 by Diagenode	Auto iDeal ChIP-seq kit for Histones x100 by Diagenode	biocompare.com	na	biocompare.com, May 2020
Auto iDeal ChIP-seq kit for Histones x24 by Diagenode	Auto iDeal ChIP-seq kit for Histones x24 by Diagenode	biocompare.com	na	biocompare.com, May 2020
CATS RNA-seq by Diagenode	CATS RNA-seq by Diagenode	biocompare.com	na	biocompare.com, May 2020
CATS mRNA-seq (with polyA selection) by Diagenode	CATS mRNA-seq (with polyA selection) by Diagenode	biocompare.com	na	biocompare.com, May 2020
CATS small RNA-seq by Diagenode	CATS small RNA-seq by Diagenode	biocompare.com	na	biocompare.com, May 2020
CATS total RNA-seq (with rRNA depletion) by Diagenode	CATS total RNA-seq (with rRNA depletion) by Diagenode	biocompare.com	na	biocompare.com, May 2020
Universal Plant ChIP-seq kit by Diagenode	Universal Plant ChIP-seq kit by Diagenode	biocompare.com	na	biocompare.com, May 2020
iDeal ChIP-seq Kit for Transcription Factors x100 by Diagenode	iDeal ChIP-seq Kit for Transcription Factors x100 by Diagenode	biocompare.com	na	biocompare.com, May 2020
iDeal ChIP-seq kit for Histones x10 by Diagenode	iDeal ChIP-seq kit for Histones x10 by Diagenode	biocompare.com	na	biocompare.com, May 2020
iDeal ChIP-seq kit for Histones x100 by Diagenode	iDeal ChIP-seq kit for Histones x100 by Diagenode	biocompare.com	na	biocompare.com, May 2020
iDeal ChIP-seq kit for Histones x24 by Diagenode	iDeal ChIP-seq kit for Histones x24 by Diagenode	biocompare.com	na	biocompare.com, May 2020
iDeal ChIP-seq kit for Transcription Factors x10 by Diagenode	iDeal ChIP-seq kit for Transcription Factors x10 by Diagenode	biocompare.com	na	biocompare.com, May 2020
iDeal ChIP-seq kit for Transcription Factors x24 by Diagenode	iDeal ChIP-seq kit for Transcription Factors x24 by Diagenode	biocompare.com	na	biocompare.com, May 2020
KAPA Library Quantification Kit (Bio-Rad) by Roche	KAPA Library Quantification Kit (Bio-Rad) by Roche	biocompare.com	na	biocompare.com, May 2020
KAPA Library Quantification Kit (ROX Low) by Roche	KAPA Library Quantification Kit (ROX Low) by Roche	biocompare.com	na	biocompare.com, May 2020
KAPA Library Quantification Kit (Universal) by Roche	KAPA Library Quantification Kit (Universal) by Roche	biocompare.com	na	biocompare.com, May 2020
KAPA Library Quantification Kit (optimized for Roche LightCycler 480) by Roche	KAPA Library Quantification Kit (optimized for Roche LightCycler 480) by Roche	biocompare.com	na	biocompare.com, May 2020
KAPA Library Quantification Kits by Roche	KAPA Library Quantification Kits by Roche	biocompare.com	na	biocompare.com, May 2020
KAPA Low throughput Library Preparation KitIllumina, with bead by Roche	KAPA Low throughput Library Preparation KitIllumina, with bead by Roche	biocompare.com	na	biocompare.com, May 2020
KAPA Low throughput Library Preparation KitIllumina, with bead, PCR-free by Roche	KAPA Low throughput Library Preparation KitIllumina, with bead, PCR-free by Roche	biocompare.com	na	biocompare.com, May 2020
KAPA Low throughput Library Preparation KitIllumina, with real-time PCR library amplification by Roche	KAPA Low throughput Library Preparation KitIllumina, with real-time PCR library amplification by Roche	biocompare.com	na	biocompare.com, May 2020
KAPA Low throughput Library Preparation KitIllumina, with real-time library amplification by Roche	KAPA Low throughput Library Preparation KitIllumina, with real-time library amplification by Roche	biocompare.com	na	biocompare.com, May 2020
KAPA Low throughput Library Preparation KitIon Torrent by Roche	KAPA Low throughput Library Preparation KitIon Torrent by Roche	biocompare.com	na	biocompare.com, May 2020
KAPA Low throughput Library Preparation KitIon Torrent, PCR free by Roche	KAPA Low throughput Library Preparation KitIon Torrent, PCR free by Roche	biocompare.com	na	biocompare.com, May 2020
KAPA RNA HyperPrep Kits by Roche	KAPA RNA HyperPrep Kits by Roche	biocompare.com	na	biocompare.com, May 2020
KAPA Real-time PCR library amplification Kit, with fluorescent standards by Roche	KAPA Real-time PCR library amplification Kit, with fluorescent standards by Roche	biocompare.com	na	biocompare.com, May 2020
KAPA Stranded RNA-Seq KitIllumina by Roche	KAPA Stranded RNA-Seq KitIllumina by Roche	biocompare.com	na	biocompare.com, May 2020
KAPA Stranded RNA-Seq with RiboErase (HMR) 24 Reactions by Roche	KAPA Stranded RNA-Seq with RiboErase (HMR) 24 Reactions by Roche	biocompare.com	na	biocompare.com, May 2020
KAPA Stranded RNA-Seq with RiboErase (HMR) 96 Reactions by Roche	KAPA Stranded RNA-Seq with RiboErase (HMR) 96 Reactions by Roche	biocompare.com	na	biocompare.com, May 2020
KAPA Stranded mRNA-Seq KitIllumina, with KAPA mRNA Capture Beads by Roche	KAPA Stranded mRNA-Seq KitIllumina, with KAPA mRNA Capture Beads by Roche	biocompare.com	na	biocompare.com, May 2020
SeqCap Adapter Kit A by Roche	SeqCap Adapter Kit A by Roche	biocompare.com	na	biocompare.com, May 2020
SeqCap Adapter Kit B by Roche	SeqCap Adapter Kit B by Roche	biocompare.com	na	biocompare.com, May 2020
